Date,Time,CO2_room,Relative_humidity_room,Lighting_room,Meteo_Rain,Meteo_Sun_dusk,Meteo_Wind,Meteo_Sun_light_in_west_facade,Meteo_Sun_light_in_east_facade,Meteo_Sun_light_in_south_facade,Meteo_Sun_light_in_north_facade,Meteo_Sun_irradiance,Outdoor_relative_humidity_Sensor,Day_of_the_week,Occupancy 1,Occupancy 2,Occupancy 3,Indoor_temperature_room,Humidity,Outside temp,Satisfaction,Datetime
13/03/2012,11:45,221.92,42.415,113.52,0.0,623.36,1.42625,0,9690.24,12604.2,95436.8,758.88,48.375,2.0,1,0,0,17.8275,42.415,17.0,93.38399375,2012-03-13 11:45:00
13/03/2012,12:00,220.363,42.2453,113.605,0.0,623.211,1.592,0,11022.0,10787.2,95436.8,762.069,47.808,2.0,1,0,0,18.1207,42.2453,17.21,94.52955651,2012-03-13 12:00:00
13/03/2012,12:15,218.933,42.2267,113.6,0.0,622.656,1.89133,0,13960.5,9669.63,95398.6,766.251,47.432,2.0,1,0,0,18.4367,42.2267,17.46,95.61276811,2012-03-13 12:15:00
13/03/2012,12:30,217.045,42.0987,113.344,0.0,622.571,1.828,0,18511.2,9648.13,95360.3,766.037,47.024,2.0,1,0,0,18.7513,42.0987,17.66,96.46542331,2012-03-13 12:30:00
13/03/2012,12:45,216.08,42.0686,113.034,0.0,622.4,2.36071,0,26349.0,9208.32,95354.9,762.743,45.4743,2.0,1,0,0,19.0414,42.0686,17.87,97.09823604,2012-03-13 12:45:00
13/03/2012,13:00,216.011,42.0347,113.6,0.0,622.4,2.06333,0,36511.7,8694.78,95354.9,752.683,45.5467,2.0,1,0,0,19.2773,42.0347,18.0,97.48637971,2012-03-13 13:00:00
13/03/2012,13:15,215.829,41.9947,112.981,0.0,622.4,2.23067,0,49288.5,8501.25,95354.9,740.949,44.968,2.0,1,0,0,19.5367,41.9947,18.24,97.78402811,2012-03-13 13:15:00
13/03/2012,13:30,215.296,41.9947,111.259,0.0,621.803,1.924,0,62253.7,8687.62,95174.7,721.109,45.1813,2.0,1,0,0,19.7307,41.9947,18.47,97.92615251,2012-03-13 13:30:00
13/03/2012,13:45,214.549,42.1253,83.3547,0.0,620.651,2.51067,0,71453.4,8888.32,91848.7,699.392,45.416,2.0,1,0,0,19.9693,42.1253,18.64,98.03038251,2012-03-13 13:45:00
13/03/2012,14:00,213.909,42.0427,83.36,0.0,620.309,2.65333,0,80076.8,9046.02,87217.5,677.675,45.0213,2.0,1,0,0,20.1407,42.0427,18.82,97.99087851,2012-03-13 14:00:00
13/03/2012,14:15,213.312,42.1787,83.6107,0.0,619.755,2.82667,0,86682.3,9182.21,81720.7,648.427,44.36,2.0,1,0,0,20.3267,42.1787,18.96,97.93794211,2012-03-13 14:15:00
13/03/2012,14:30,213.739,42.7067,59.952,0.0,619.712,2.49467,0,88648.4,9347.07,75380.1,615.68,44.7947,2.0,1,0,0,20.4713,42.7067,19.09,97.95455131,2012-03-13 14:30:00
13/03/2012,14:45,222.528,41.5147,52.824,0.0,619.328,2.466,0,91406.3,9712.64,68515.2,582.869,43.984,2.0,1,0,0,20.9093,41.5147,19.28,97.05184851,2012-03-13 14:45:00
13/03/2012,15:00,219.68,40.956,45.6747,0.0,619.243,2.432,0,90472.4,9963.52,60604.4,544.533,44.5467,2.0,1,0,0,21.4253,40.956,19.42,95.70751991,2012-03-13 15:00:00
13/03/2012,15:15,219.285,40.6347,40.16,0.0,619.157,1.732,0,88391.7,9655.3,52794.7,503.744,44.7813,2.0,1,0,0,21.8467,40.6347,19.55,94.24837411,2012-03-13 15:15:00
13/03/2012,15:30,217.589,40.8413,32.248,0.0,618.944,1.89133,0,89134.4,8651.78,44743.3,460.523,45.6773,2.0,1,0,0,22.1573,40.8413,19.72,93.05638171,2012-03-13 15:30:00
13/03/2012,15:45,215.136,40.8867,23.44,0.0,618.645,1.64267,0,88462.7,7906.3,36479.0,415.744,45.5173,2.0,1,0,0,22.404,40.8867,19.82,91.942459,2012-03-13 15:45:00
13/03/2012,16:00,214.24,40.3867,23.44,0.0,618.56,1.59067,0,85333.3,7433.22,28270.6,368.917,45.2373,2.0,1,0,0,22.7307,40.3867,19.92,90.13995251,2012-03-13 16:00:00
13/03/2012,16:15,213.632,39.9227,23.44,0.0,618.56,1.732,0,84587.9,7175.17,21476.7,320.448,45.0747,2.0,1,0,0,22.9373,39.9227,20.03,88.85294371,2012-03-13 16:15:00
13/03/2012,16:30,215.029,39.6133,22.244,0.0,618.517,1.59,0,78588.6,6831.1,16318.5,271.723,45.072,2.0,1,0,0,23.2,39.6133,20.12,87.163325,2012-03-13 16:30:00
13/03/2012,16:45,217.067,39.084,23.44,0.0,617.92,1.94733,0,74555.4,6515.71,12792.5,222.443,44.128,2.0,1,0,0,23.436,39.084,20.21,85.464904,2012-03-13 16:45:00
13/03/2012,17:00,216.661,38.3013,22.784,0.0,617.792,1.564,0,65830.9,5899.26,10106.2,173.835,43.2747,2.0,1,0,0,23.668,38.3013,20.26,83.621101,2012-03-13 17:00:00
13/03/2012,17:15,216.672,37.7867,23.5853,0.0,617.109,1.544,0,40424.4,4243.46,6537.22,101.244,43.6107,2.0,1,0,0,23.852,37.7867,20.25,82.108771,2012-03-13 17:15:00
